"Rank","Title","Link","Date","Locale","Category","Stremaer"
9,"The Legend of Korra","https://flixpatrol.com/title/the-legend-of-korra","2020-08-31","united-states","tvshow","netflix"
10,"Trinkets","https://flixpatrol.com/title/trinkets","2020-08-31","united-states","tvshow","netflix"
1,"Cobra Kai","https://flixpatrol.com/title/cobra-kai","2020-08-30","united-states","tvshow","netflix"
2,"Lucifer","https://flixpatrol.com/title/lucifer","2020-08-30","united-states","tvshow","netflix"
3,"I AM A KILLER: RELEASED","https://flixpatrol.com/title/i-am-a-killer-released","2020-08-30","united-states","tvshow","netflix"
4,"Million Dollar Beach House","https://flixpatrol.com/title/million-dollar-beach-house","2020-08-30","united-states","tvshow","netflix"
5,"BUNK'D","https://flixpatrol.com/title/bunkd","2020-08-30","united-states","tvshow","netflix"
6,"The Umbrella Academy","https://flixpatrol.com/title/the-umbrella-academy","2020-08-30","united-states","tvshow","netflix"
7,"Cocomelon","https://flixpatrol.com/title/cocomelon","2020-08-30","united-states","tvshow","netflix"
8,"Hoops","https://flixpatrol.com/title/hoops","2020-08-30","united-states","tvshow","netflix"
9,"The Legend of Korra","https://flixpatrol.com/title/the-legend-of-korra","2020-08-30","united-states","tvshow","netflix"
10,"Trinkets","https://flixpatrol.com/title/trinkets","2020-08-30","united-states","tvshow","netflix"
1,"Cobra Kai","https://flixpatrol.com/title/cobra-kai","2020-08-29","united-states","tvshow","netflix"
2,"Lucifer","https://flixpatrol.com/title/lucifer","2020-08-29","united-states","tvshow","netflix"
3,"Million Dollar Beach House","https://flixpatrol.com/title/million-dollar-beach-house","2020-08-29","united-states","tvshow","netflix"
4,"I AM A KILLER: RELEASED","https://flixpatrol.com/title/i-am-a-killer-released","2020-08-29","united-states","tvshow","netflix"
5,"BUNK'D","https://flixpatrol.com/title/bunkd","2020-08-29","united-states","tvshow","netflix"
6,"Hoops","https://flixpatrol.com/title/hoops","2020-08-29","united-states","tvshow","netflix"
7,"The Umbrella Academy","https://flixpatrol.com/title/the-umbrella-academy","2020-08-29","united-states","tvshow","netflix"
8,"Cocomelon","https://flixpatrol.com/title/cocomelon","2020-08-29","united-states","tvshow","netflix"
9,"The Legend of Korra","https://flixpatrol.com/title/the-legend-of-korra","2020-08-29","united-states","tvshow","netflix"
10,"Trinkets","https://flixpatrol.com/title/trinkets","2020-08-29","united-states","tvshow","netflix"
1,"Lucifer","https://flixpatrol.com/title/lucifer","2020-08-28","united-states","tvshow","netflix"
2,"Million Dollar Beach House","https://flixpatrol.com/title/million-dollar-beach-house","2020-08-28","united-states","tvshow","netflix"
3,"Hoops","https://flixpatrol.com/title/hoops","2020-08-28","united-states","tvshow","netflix"
4,"BUNK'D","https://flixpatrol.com/title/bunkd","2020-08-28","united-states","tvshow","netflix"
5,"The Umbrella Academy","https://flixpatrol.com/title/the-umbrella-academy","2020-08-28","united-states","tvshow","netflix"
6,"Trinkets","https://flixpatrol.com/title/trinkets","2020-08-28","united-states","tvshow","netflix"
7,"Cocomelon","https://flixpatrol.com/title/cocomelon","2020-08-28","united-states","tvshow","netflix"
8,"The Legend of Korra","https://flixpatrol.com/title/the-legend-of-korra","2020-08-28","united-states","tvshow","netflix"
9,"The Office","https://flixpatrol.com/title/the-office-2005","2020-08-28","united-states","tvshow","netflix"
10,"High Score","https://flixpatrol.com/title/high-score","2020-08-28","united-states","tvshow","netflix"
